measured_voltage,temp
0.03114,39.462856983285654
0.03115,39.55874165560427
0.03116,39.654629077158454
0.03117,39.75051924818544
0.03118,39.846412168921304
0.03119,39.94230783960213
0.0312,40.03820626046514
0.03121,40.1341074317468
0.03122,40.23001135368357
0.03123,40.325918026512696
0.03124,40.421827450470246
0.03125,40.51773962579345
0.03126,40.613654552718785
0.03127,40.70957223148346
0.03128,40.80549266232396
0.03129,40.9014158454775
0.0313,40.99734178118056
0.03131,41.09327046967036
0.03132,41.18920191118413
0.03133,41.28513610595873
0.03134,41.38107305423138
0.03135,41.477012756238935
0.03136,41.57295521221823
0.03137,41.668900422407674
0.03138,41.764848387042946
0.03139,41.860799106362045
0.0314,41.956752580602206
0.03141,42.05270881000105
0.03142,42.148667794795415
0.03143,42.24462953522293
0.03144,42.340594031520816
0.03145,42.4365612839267
0.03146,42.532531292678186
0.03147,42.62850405801252
0.03148,42.724479580167305
0.03149,42.82045785937978
0.0315,42.91643889588833
0.03151,43.01242268993019
0.03152,43.10840924174297
0.03153,43.20439855156468
0.03154,43.30039061963254
0.03155,43.396385446184944
0.03156,43.49238303145913
0.03157,43.58838337569385
0.03158,43.68438647912597
0.03159,43.78039234199386
0.0316,43.87640096453592
0.03161,43.97241234698898
0.03162,44.0684264895926
0.03163,44.16444339258323
0.03164,44.260463056200415
0.03165,44.356485480680995
0.03166,44.452510666264516
0.03167,44.548538613187816
0.03168,44.644569321690064
0.03169,44.740602792009255
0.0317,44.83663902438338
0.03171,44.93267801905161
0.03172,45.028719776251165
0.03173,45.12476429622121
0.03174,45.22081157919973
0.03175,45.316861625425894
0.03176,45.4129144351377
0.03177,45.50897000857392
0.03178,45.60502834597254
0.03179,45.701089447572734
0.0318,45.797153313613265
0.03181,45.893219944332515
0.03182,45.98928933996888
0.03183,46.08536150076188
0.03184,46.181436426949915
0.03185,46.27751411877137
0.03186,46.37359457646616
0.03187,46.46967780027192
0.03188,46.565763790428164
0.03189,46.66185254717445
0.0319,46.75794407074876
0.03191,46.85403836139027
0.03192,46.950135419338515
0.03193,47.046235244832644
0.03194,47.14233783811104
0.03195,47.23844319941363
0.03196,47.33455132897918
0.03197,47.43066222704685
0.03198,47.526775893856566
0.03199,47.62289232964671
0.032,47.7190115346572
0.03201,47.81513350912719
0.03202,47.91125825329624
0.03203,48.00738576740386
0.03204,48.10351605168884
0.03205,48.19964910639148
0.03206,48.29578493175094
0.03207,48.39192352800713
0.03208,48.48806489539922
0.03209,48.58420903416713
0.0321,48.68035594455039
0.03211,48.77650562678894
0.03212,48.8726580811223
0.03213,48.968813307790406
0.03214,49.06497130703279
0.03215,49.161132079089384
0.03216,49.257295624200495
0.03217,49.35346194260527
0.03218,49.44963103454479
0.03219,49.54580290025782
0.0322,49.641977539985064
0.03221,49.73815495396682
0.03222,49.83433514244224
0.03223,49.93051810565242
0.03224,50.02670384383688
0.03225,50.12289235723632
0.03226,50.21908364609065
0.03227,50.3152777106402
0.03228,50.41147455112527
0.03229,50.50767416778578
0.0323,50.60387656086319
0.03231,50.700081730596665
0.03232,50.796289677227655
0.03233,50.892500400996084
0.03234,50.988713902142266
0.03235,51.08493018090728
0.03236,51.18114923753142
0.03237,51.2773710722554
0.03238,51.37359568531989
0.03239,51.46982307696521
0.0324,51.56605324743244
0.03241,51.662286196962654
0.03242,51.75852192579577
0.03243,51.85476043417325
0.03244,51.951001722335796
0.03245,52.047245790524094
0.03246,52.14349263897961
0.03247,52.23974226794264
0.03248,52.33599467765466
0.03249,52.43224986835635
0.0325,52.52850784028919
0.03251,52.624768593693844
0.03252,52.721032128811416
0.03253,52.817298445883736
0.03254,52.9135675451515
0.03255,53.00983942685579
0.03256,53.10611409123845
0.03257,53.20239153854017
0.03258,53.29867176900241
0.03259,53.394954782867025
0.0326,53.491240580375084
0.03261,53.587529161768046
0.03262,53.68382052728738
0.03263,53.78011467717454
0.03264,53.87641161167138
0.03265,53.972711331019354
0.03266,54.06901383545993
0.03267,54.16531912523457
0.03268,54.261627200585494
0.03269,54.35793806175417
0.0327,54.45425170898206
0.03271,54.550568142511786
0.03272,54.646887362584415
0.03273,54.743209369442184
0.03274,54.83953416332693
0.03275,54.93586174448012
0.03276,55.03219211314437
0.03277,55.12852526956152
0.03278,55.22486121397343
0.03279,55.3211999466227
0.0328,55.4175414677508
0.03281,55.51388577759996
0.03282,55.61023287641279
0.03283,55.70658276443113
0.03284,55.80293544189723
0.03285,55.8992909090537
0.03286,55.995649166142755
0.03287,56.09201021340625
0.03288,56.18837405108719
0.03289,56.2847406794278
0.0329,56.38111009867069
0.03291,56.4774823090581
0.03292,56.57385731083264
0.03293,56.67023510423693
0.03294,56.76661568951358
0.03295,56.862999066905196
0.03296,56.95938523665441
0.03297,57.055774199003835
0.03298,57.15216595419646
0.03299,57.24856050247529
0.033,57.34495784408256
0.03301,57.44135797926126
0.03302,57.53776090825478
0.03303,57.63416663130535
0.03304,57.73057514865635
0.03305,57.8269864605504
0.03306,57.923400567230885
0.03307,58.019817468941184
0.03308,58.11623716592353
0.03309,58.2126596584213
0.0331,58.309084946678276
0.03311,58.405513030937065
0.03312,58.50194391144105
0.03313,58.59837758843362
0.03314,58.69481406215816
0.03315,58.79125333285727
0.03316,58.887695400775506
0.03317,58.98414026615547
